s	n_liftover_r2_snvs_with_mismatchrefallele	n_liftover_r2_homoplasmic_insertions_rel_to_grch38	n_liftover_r2_homoplasmic_deletions_rel_to_grch38	n_liftover_r2_heteroplasmic_indels_first_site_swapped_to_grch38	n_liftover_r2_heteroplasmic_deletions_with_internal_sites_swapped_to_grch38	n_liftover_r2_het_insertions_sharing_lhs_with_hom_ref_deletion	n_liftover_r2_heteroplasmic_deletions_sharing_lhs_with_homoplasmic_insertion_spanning_rhs	n_liftover_r2_heteroplasmic_deletions_spanning_only_lhs_of_homoplasmic_insertion	n_liftover_r2_sites_with_fancy_flip	n_liftover_r2_success_sites_flipped	n_liftover_r2_left_alignment_of_indels	n_liftover_r2_round2_failed_sites	n_liftover_r2_round2_fixed_sites	n_liftover_r2_round2_success_injected	n_liftover_r2_snvs_complex_liftover	n_liftover_r2_ref_insertion_new_haplos	n_liftover_r2_deletions_with_first_allele_and_internal_switches	n_liftover_r2_hom_dele_with_indels_reverted	n_liftover_r2_het_dele_span_insert_repaired_with_complex_rework	n_liftover_r2_het_deletions_span_insertions	n_liftover_r2_new_dupes_left_shift_failed	n_liftover_r2_fixed_indelStraddlesMultipleIntevals	n_liftover_r1_round1_failed_sites	n_liftover_changed_selfref_and_passed	n_liftover_r1_pass	n_liftover_r2_pass	mean_coverage	median_coverage	major_haplogroup	contamination	nuc_variants_pass	n_reads_unpaired_dropped	nuc_variants_dropped	mtdna_consensus_overlaps	nuc_consensus_overlaps
4821697_23193_0_0	30	1	0	0	0	0	0	0	1	1	0	0	31	0	0	0	0	0	0	0	0	0	31	0	64	95	1332	1345	U5a1a1d	0	510	30430	0	0	0
4895432_23193_0_0	35	1	0	0	0	0	0	0	1	1	0	0	36	0	0	0	0	0	0	0	0	0	36	0	166	202	901	912	K1a1b1a	0	606	34610	2	0	2
4881370_23193_0_0	12	1	0	0	0	0	0	0	1	1	0	0	13	0	0	0	0	0	0	0	0	0	13	0	107	120	1547	1553	H5s	0	494	51282	0	0	0
4801511_23193_0_0	31	1	0	0	0	0	0	0	2	1	0	0	32	0	1	0	0	0	0	0	0	0	32	0	167	199	894	904	U4c2	0	357	31617	0	0	0
4821780_23193_0_0	28	1	0	0	0	0	0	0	1	1	0	0	29	0	0	0	0	0	0	0	0	0	29	0	59	88	1056	1067	J1c8a	0	457	31530	0	0	0
4814994_23193_0_0	36	3	0	0	0	0	0	0	4	2	0	0	39	0	2	1	0	0	0	0	0	0	39	0	124	163	944	953	U4c1	0	458	33299	0	0	0
4825534_23193_0_0	9	1	0	0	0	0	0	0	1	1	0	0	10	0	0	0	0	0	0	0	0	0	10	0	63	73	1145	1157	H3	0	525	35932	0	0	0
4887799_23193_0_0	20	1	0	0	0	0	0	0	2	1	0	0	21	0	1	0	0	0	0	0	0	0	21	0	166	187	537	544	H6a1b3	0	532	24401	0	0	0
4871648_23193_0_0	12	1	0	0	0	0	0	0	1	1	0	0	13	0	0	0	0	0	0	0	0	0	13	0	81	94	1326	1347	H41a	0	388	28177	0	0	0
4864904_23193_0_0	14	2	0	0	0	0	0	0	1	1	0	0	16	0	0	1	0	0	0	0	0	0	16	0	57	73	1366	1382	H1i2a	0	524	27054	0	0	0
4855254_23193_0_0	3	4	0	0	0	0	0	0	1	1	0	0	7	0	0	2	0	0	0	0	0	0	7	0	85	92	770	780	H2a2a1g	0	527	24996	0	0	0
4810935_23193_0_0	33	1	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	34	0	90	124	1143	1153	T2b	0	494	35092	0	0	0
4837790_23193_0_0	30	1	1	0	0	0	0	0	1	1	0	0	32	0	0	0	0	0	0	0	0	0	32	0	103	135	1268	1283	J1c5b	0	426	33270	0	0	0
4854799_23193_0_0	16	1	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	17	0	37	54	1333	1347	HV0f	0	469	23256	0	0	0
2313548_23193_0_0	34	1	0	0	0	0	0	0	1	1	0	0	35	0	0	0	0	0	0	0	0	0	35	0	131	166	676	685	J1c2c1	0	437	30377	0	0	0
2392068_23193_0_0	32	1	1	0	0	0	0	0	1	1	0	0	34	0	0	0	0	0	0	0	0	0	34	0	82	116	1090	1106	I4a2	0	552	30052	0	0	0
2385352_23193_0_0	14	1	0	0	0	0	0	0	2	2	0	0	15	0	1	0	0	0	0	0	0	0	15	0	120	135	1003	1016	V	0	455	31200	0	0	0
2383515_23193_0_0	32	2	0	0	0	0	0	0	1	1	0	0	34	0	0	0	0	0	0	0	0	0	34	0	103	137	1051	1067	U4b1a2	0	492	25821	0	0	0
