s	n_liftover_r2_snvs_with_mismatchrefallele	n_liftover_r2_homoplasmic_insertions_rel_to_grch38	n_liftover_r2_homoplasmic_deletions_rel_to_grch38	n_liftover_r2_heteroplasmic_indels_first_site_swapped_to_grch38	n_liftover_r2_heteroplasmic_deletions_with_internal_sites_swapped_to_grch38	n_liftover_r2_het_insertions_sharing_lhs_with_hom_ref_deletion	n_liftover_r2_heteroplasmic_deletions_sharing_lhs_with_homoplasmic_insertion_spanning_rhs	n_liftover_r2_heteroplasmic_deletions_spanning_only_lhs_of_homoplasmic_insertion	n_liftover_r2_sites_with_fancy_flip	n_liftover_r2_success_sites_flipped	n_liftover_r2_left_alignment_of_indels	n_liftover_r2_round2_failed_sites	n_liftover_r2_round2_fixed_sites	n_liftover_r2_round2_success_injected	n_liftover_r2_snvs_complex_liftover	n_liftover_r2_ref_insertion_new_haplos	n_liftover_r2_deletions_with_first_allele_and_internal_switches	n_liftover_r2_hom_dele_with_indels_reverted	n_liftover_r2_het_dele_span_insert_repaired_with_complex_rework	n_liftover_r2_het_deletions_span_insertions	n_liftover_r2_new_dupes_left_shift_failed	n_liftover_r2_fixed_indelStraddlesMultipleIntevals	n_liftover_r1_round1_failed_sites	n_liftover_changed_selfref_and_passed	n_liftover_r1_pass	n_liftover_r2_pass	mean_coverage	median_coverage	major_haplogroup	contamination	nuc_variants_pass	n_reads_unpaired_dropped	nuc_variants_dropped	mtdna_consensus_overlaps	nuc_consensus_overlaps
4825021_23193_0_0	33	1	0	1	1	0	0	0	2	1	2	0	36	0	0	0	0	0	0	0	0	0	36	0	43	79	1861	1885	T1a1	0	475	32979	0	0	0
4840987_23193_0_0	12	2	0	0	0	0	0	0	1	2	0	0	14	0	0	1	0	0	0	0	0	0	14	0	148	162	774	784	H24a1	0	471	34366	0	0	0
4892718_23193_0_0	29	1	0	0	0	0	0	0	1	1	0	0	30	0	0	0	0	0	0	0	0	0	30	0	112	142	878	887	U5b3e	0	407	34781	0	0	0
4887971_23193_0_0	10	1	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	11	0	108	119	1012	1025	H1m	0	459	25840	0	0	0
4869823_23193_0_0	30	2	0	0	0	0	0	0	2	1	0	0	32	0	1	1	0	0	0	0	0	0	32	0	135	167	888	900	U5a1b1g	0	504	35094	0	0	0
4800322_23193_0_0	38	1	0	0	0	0	0	0	2	2	0	0	39	0	1	0	0	0	0	0	0	0	39	0	92	131	1078	1098	L3e2b1a2	0	584	37118	0	0	0
4822119_23193_0_0	7	2	0	0	0	0	0	0	1	2	0	0	9	0	0	1	0	0	0	0	0	0	9	0	130	139	904	922	H2a2b	0	455	31374	0	0	0
4825138_23193_0_0	38	1	0	0	0	0	0	0	2	1	0	0	39	0	1	0	0	0	0	0	0	0	39	0	89	128	955	967	W3a1c	0	619	30077	0	0	0
4861621_23193_0_0	44	1	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	45	0	139	184	889	902	J2a1a1	0	464	31266	0	0	0
4823774_23193_0_0	18	1	1	0	0	0	0	0	2	1	0	0	20	0	1	0	0	0	0	0	0	0	20	0	126	146	771	779	H4a1a3a	0	508	30359	0	0	0
4842678_23193_0_0	10	2	0	0	0	0	0	0	1	2	0	0	12	0	0	1	0	0	0	0	0	0	12	0	138	150	816	829	H10a	0	517	30954	0	0	0
4843788_23193_0_0	11	1	0	0	0	0	0	0	1	1	0	0	12	0	0	0	0	0	0	0	0	0	12	0	123	135	836	843	H3c2b	0	504	29612	0	0	0
4851715_23193_0_0	27	1	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	28	0	60	88	1805	1843	U5a1c2a	0	587	28809	0	0	0
4829042_23193_0_0	34	1	0	0	0	0	0	0	1	2	0	0	35	0	0	0	0	0	0	0	0	0	35	0	85	120	1204	1216	T2b24	0	443	40154	0	0	0
4857259_23193_0_0	35	0	0	0	0	0	0	0	1	0	0	0	35	0	2	0	0	0	0	0	0	0	35	0	93	128	1175	1184	J1b1a1	0	457	27618	0	0	0
4816099_23193_0_0	10	1	0	0	0	0	0	0	1	1	0	0	11	0	0	0	0	0	0	0	0	0	11	0	110	121	763	771	H83	0	427	33674	0	0	0
4852778_23193_0_0	13	1	0	0	0	0	0	0	1	1	0	0	14	0	0	0	0	0	0	0	0	0	14	0	76	90	970	975	H1	0	458	30060	0	0	0
4875500_23193_0_0	40	1	0	0	1	0	0	0	2	1	1	0	42	0	1	0	0	0	0	0	0	0	42	0	75	117	1270	1283	T2a1b1a1b	0	403	29939	0	0	0
